Site,Parameter,Date (LT),Year,Month,Day,Hour,Raw Conc.,Average,Conc. Unit,Duration,QC Name
Dhaka,PM2.5 - Principal,1/11/2018 23:00,2018,1,11,23,285,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/12/2018 0:00,2018,1,12,0,278,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/12/2018 1:00,2018,1,12,1,255,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/12/2018 2:00,2018,1,12,2,260,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/12/2018 3:00,2018,1,12,3,280,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/12/2018 4:00,2018,1,12,4,268,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/12/2018 5:00,2018,1,12,5,272,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/12/2018 6:00,2018,1,12,6,266,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/12/2018 7:00,2018,1,12,7,268,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/12/2018 8:00,2018,1,12,8,312,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/12/2018 9:00,2018,1,12,9,296,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/12/2018 10:00,2018,1,12,10,299,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/12/2018 11:00,2018,1,12,11,328,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/12/2018 12:00,2018,1,12,12,236,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/12/2018 13:00,2018,1,12,13,200,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/12/2018 14:00,2018,1,12,14,191,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/12/2018 15:00,2018,1,12,15,198,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/12/2018 16:00,2018,1,12,16,199,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/12/2018 17:00,2018,1,12,17,187,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/12/2018 18:00,2018,1,12,18,209,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/12/2018 19:00,2018,1,12,19,216,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/12/2018 20:00,2018,1,12,20,222,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/12/2018 21:00,2018,1,12,21,217,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/12/2018 22:00,2018,1,12,22,251,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/12/2018 23:00,2018,1,12,23,261,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/13/2018 0:00,2018,1,13,0,265,,UG/M3,1 Hr,Valid
